prompt,model_of_original_prompt,order,iteration,prompt_length,step1_story_prompt_with_prefix,full_prompt_length
Write about a secret society of writers who can alter reality with their words.,ChatGPT,11,20,79,Please write me a story in exactly 5 sentences: Write about a secret society of writers who can alter reality with their words.,127
Write about a world where people are allergic to lies.,ChatGPT,22,8,54,Please write me a story in exactly 5 sentences: Write about a world where people are allergic to lies.,102
"In a world where shadows whisper, a young boy must understand his shadow’s language to save his village.",ChatGPT,47,19,104,"Please write me a story in exactly 5 sentences: In a world where shadows whisper, a young boy must understand his shadow’s language to save his village.",152
Tell the story of a space explorer who finds an abandoned alien city.,ChatGPT,8,18,69,Please write me a story in exactly 5 sentences: Tell the story of a space explorer who finds an abandoned alien city.,117
"A hidden village is discovered, where unusual rituals bring about supernatural events.",ChatGPT,30,5,86,"Please write me a story in exactly 5 sentences: A hidden village is discovered, where unusual rituals bring about supernatural events.",134
Imagine a society where emotions can be seen as colors surrounding the person.,ChatGPT,38,11,78,Please write me a story in exactly 5 sentences: Imagine a society where emotions can be seen as colors surrounding the person.,126
"During a severe drought, a young scientist discovers a way to manufacture water, but the invention has unexpected side effects.",ChatGPT,36,15,127,"Please write me a story in exactly 5 sentences: During a severe drought, a young scientist discovers a way to manufacture water, but the invention has unexpected side effects.",175
"A lone astronaut discovers a new planet, but it's not uninhabited.",ChatGPT,13,14,66,"Please write me a story in exactly 5 sentences: A lone astronaut discovers a new planet, but it's not uninhabited.",114
A forbidden romance in a society where marriages are predetermined.,ChatGPT,37,14,67,Please write me a story in exactly 5 sentences: A forbidden romance in a society where marriages are predetermined.,115
A world where everyone’s life expectancy is visible above their heads.,ChatGPT,33,7,70,Please write me a story in exactly 5 sentences: A world where everyone’s life expectancy is visible above their heads.,118
"In a world where everyone is blind, the person who regains their sight is feared and revered.",ChatGPT,39,15,93,"Please write me a story in exactly 5 sentences: In a world where everyone is blind, the person who regains their sight is feared and revered.",141
A journalist discovers their family is linked to an ancient prophecy.,ChatGPT,33,14,69,Please write me a story in exactly 5 sentences: A journalist discovers their family is linked to an ancient prophecy.,117
"A character discovers they can manipulate shadows, using them to uncover hidden truths.",ChatGPT,15,2,87,"Please write me a story in exactly 5 sentences: A character discovers they can manipulate shadows, using them to uncover hidden truths.",135
Tell a story of a lighthouse keeper who finds a message in a bottle with a map to a mythical island.,ChatGPT,14,11,100,Please write me a story in exactly 5 sentences: Tell a story of a lighthouse keeper who finds a message in a bottle with a map to a mythical island.,148
"Create a tale where dreams are a shared space, and one can meet others in them.",ChatGPT,18,5,79,"Please write me a story in exactly 5 sentences: Create a tale where dreams are a shared space, and one can meet others in them.",127
A character discovers that they start to possess the traits of any book character they read about.,ChatGPT,20,4,98,Please write me a story in exactly 5 sentences: A character discovers that they start to possess the traits of any book character they read about.,146
An artist can create paintings that predict the future.,ChatGPT,25,14,55,Please write me a story in exactly 5 sentences: An artist can create paintings that predict the future.,103
A world where every person's life span is visible above their heads.,ChatGPT,50,1,68,Please write me a story in exactly 5 sentences: A world where every person's life span is visible above their heads.,116
A couple who discovers they are characters in a novel and try to influence the plot.,ChatGPT,19,13,84,Please write me a story in exactly 5 sentences: A couple who discovers they are characters in a novel and try to influence the plot.,132
A couple moves into a house which is alive and forms a relationship with its occupants.,ChatGPT,18,1,87,Please write me a story in exactly 5 sentences: A couple moves into a house which is alive and forms a relationship with its occupants.,135
A character discovers an old radio that broadcasts news from the future.,ChatGPT,43,5,72,Please write me a story in exactly 5 sentences: A character discovers an old radio that broadcasts news from the future.,120
